year,movie,movie_id,duration,genre,rate,synopsis,votes,gross,release_date,popularity,awards_wins,Oscar_Best_Picture_won,Oscar_nominated
2011,Hugo,tt0970179,126,Adventure|Drama|Family,7.5,"In Paris in 1931, an orphan named Hugo Cabret who lives in the walls of a train station is wrapped up in a mystery involving his late father and an automaton.",253493,73820000,23/11/2011,611,10,No,11
2008,The Day the Earth Stood Still,tt0970416,104,Drama|Sci-Fi|Thriller,5.5,A remake of the 1951 classic sci-fi film about an alien visitor and his giant robot counterpart who visit Earth.,142415,79360000,12/12/2008,1054,0,No,0
2009,17 Again,tt0974661,102,Comedy|Drama|Family,6.4000001,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,150419,64150000,17/04/2009,1018,0,No,0
2012,Hitchcock,tt0975645,98,Biography|Drama,6.80000019,The relationship between Alfred Hitchcock and his wife Alma Reville during the filming of Psycho (1960) in 1959 is explored.,62249,6000000,14/12/2012,3657,0,No,1
2008,The Reader,tt0976051,124,Drama|Romance,7.5999999,"Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.",195211,34180000,30/01/2009,1445,7,No,5
2008,Frozen River,tt0978759,97,Crime|Drama,7.19999981,"Takes place in the days before Christmas near a little-known border crossing on the Mohawk reservation between New York State and Quebec. Here, the lure of fast money from smuggling ... See full summary И",22153,2510000,05/09/2008,,1,No,2
2011,Sucker Punch,tt0978764,110,Action|Fantasy,6.0999999,"A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility.",201947,36380000,25/03/2011,445,0,No,0
2011,The Adventures of Tintin,tt0983193,107,Animation|Action|Adventure,7.4000001,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,182309,77560000,21/12/2011,2512,3,No,1
2008,Valkyrie,tt0985699,121,Drama|History|Thriller,7.0999999,A dramatization of the 20 July assassination and political coup plot by desperate renegade German Army officers against Hitler during World War II.,189396,83080000,25/12/2008,1482,0,No,0
2009,Sherlock Holmes,tt0988045,128,Action|Adventure|Crime,7.5999999,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,491204,209020000,25/12/2009,417,2,No,2
2011,Hanna,tt0993842,111,Action|Drama|Thriller,6.80000019,"A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.",162193,40250000,08/04/2011,572,1,No,0
2013,The Wolf of Wall Street,tt0993846,180,Biography|Comedy|Crime,8.19999981,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",829204,116870000,25/12/2013,132,3,No,5
2008,Sex and the City,tt1000774,145,Comedy|Drama|Romance,5.5,A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,101184,152640000,30/05/2008,1592,0,No,0
2009,He's Just Not That Into You,tt1001508,129,Comedy|Drama|Romance,6.4000001,The Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.,135320,93950000,06/02/2009,1015,0,No,0
2008,Zack and Miri Make a Porno,tt1007028,101,Comedy|Romance,6.5999999,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",152992,31450000,31/10/2008,1364,0,No,0
2011,The Iron Lady,tt1007029,105,Biography|Drama,6.4000001,"An elderly Margaret Thatcher talks to the imagined presence of her recently deceased husband as she struggles to come to terms with his death while scenes from her past life, from girlhood to British prime minister, intervene.",85175,29959436,13/01/2012,3169,8,No,2
2008,Slumdog Millionaire,tt1010048,120,Drama,8,"A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of ""Who Wants to be a Millionaire?""",661819,141320000,25/12/2008,646,33,Yes,10
2009,Fast & Furious,tt1013752,107,Action|Crime|Thriller,6.69999981,"Brian O'Conner, now working for the FBI in LA, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.",210049,155020000,03/04/2009,1342,0,No,0
2008,Milk,tt1013753,128,Biography|Drama|History,7.5999999,"The story of Harvey Milk, and his struggles as an American gay activist who fought for gay rights and became California's first openly gay elected official.",140251,31838002,30/01/2009,2268,18,No,8
2010,Alice in Wonderland,tt1014759,108,Adventure|Family|Fantasy,6.5,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",317926,334190000,05/03/2010,311,6,No,3
2015,Child 44,tt1014763,137,Crime|Drama|Thriller,6.5,A disgraced member of the Russian military police investigates a series of child murders during the Stalin-era Soviet Union.,44993,1210000,17/04/2015,657,0,No,0
2008,The Sisterhood of the Traveling Pants 2,tt1018785,119,Comedy|Drama|Family,6.19999981,"Carmen Lowell is working on the backstage of a play at Yale. When the lead actress, her friend Julia, invites her to Vermont with her to work on a play with a professional cast, she decides... See full summary »",22953,44090000,06/08/2008,1329,0,No,0
2009,A Serious Man,tt1019452,106,Comedy|Drama,7,"Larry Gopnik, a Midwestern physics teacher, watches his life unravel over multiple sudden incidents. Though seeking meaning and answers amidst his turmoils, he seems to keep sinking.",105694,9190000,06/11/2009,2027,1,No,2
2014,Selma,tt1020072,128,Biography|Drama|Histor,7.5,"A chronicle of Martin Luther King's campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama in 1965.",64976,52066000,09/01/2015,489,2,No,2
2009,500 Days of Summer,tt1022603,95,Comedy|Drama|Romance,7.69999981,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",389802,32390000,07/08/2009,793,2,No,0
2008,Never Back Down,tt1023111,110,Action|Drama|Sport,6.5999999,A frustrated and conflicted teenager arrives at a new highschool to discover an underground fightclub and meet a classmate who begins to coerce him into fighting.,82607,24850000,14/03/2008,1775,0,No,0
2010,The Way Back,tt1023114,133,Adventure|Biography|Drama,7.30000019,"Siberian gulag escapees travel 4,000 miles by foot to freedom in India.",90396,2680000,21/01/2011,1689,0,No,1
2008,Il Divo,tt1023490,110,Biography|Drama,7.30000019,"The story of Italian politician Giulio Andreotti, who has served as Prime Minister of Italy seven times since the restoration of democracy in 1946.",12255,240000,28/05/2008,,0,No,1
2012,Argo,tt1024648,120,Biography|Drama|History,7.69999981,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980.",468444,136020000,12/10/2012,450,25,Yes,7
2007,Death Proof,tt1028528,113,Thriller,7.0999999,"Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans.",215402,,31/05/2007,666,0,No,0
2009,Hachi: A Dog's Tale,tt1028532,93,Drama|Family,8.10000038,A college professor's bond with the abandoned dog he takes into his home.,168524,,12/03/2010,1094,0,No,0
2010,Secretariat,tt1028576,123,Biography|Drama|Family,7.19999981,"Penny Chenery Tweedy and colleagues guide her long-shot but precocious stallion to set, in 1973, the unbeaten record for winning the Triple Crown.",21429,59700000,08/10/2010,1077,0,No,0
2008,RocknRolla,tt1032755,114,Action|Crime|Thriller,7.30000019,"In London, a real-estate scam puts millions of pounds up for grabs, attracting some of the city's scrappiest tough guys and its more established underworld types, all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash, an unexpected player -- a drugged-out rock 'n' roller presumed to be dead but very much alive -- has a multi-million-dollar prize fall into... See full summary »",199241,5690000,31/10/2008,898,0,No,0
2011,The Descendants,tt1033575,115,Comedy|Drama,7.30000019,A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.,208797,82620000,09/12/2011,1680,10,No,5
2008,Defiance,tt1034303,137,Action|Drama|History,7.19999981,"Jewish brothers in Nazi-occupied Eastern Europe escape into the Belarussian forests, where they join Russian resistance fighters and endeavor to build a village in order to protect themselves and about 1,000 Jewish non-combatants.",119539,28620000,16/01/2009,1736,0,No,1
2009,Coco Before Chanel,tt1035736,105,Biography|Drama,6.69999981,The story of Coco Chanel's rise from obscure beginnings to the heights of the fashion world.,32982,6110000,06/11/2009,,0,No,1
2010,The Book of Eli,tt1037705,118,Action|Adventure|Drama,6.9000001,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",235467,94820000,15/01/2010,1644,0,No,0
2009,The Proposal,tt1041829,108,Comedy|Drama|Romance,6.69999981,A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.,235812,163950000,19/06/2009,689,1,No,0
2012,Silver Linings Playbook,tt1045658,122,Comedy|Drama|Romance,7.80000019,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",551547,132090000,25/12/2012,626,17,No,8
2008,Happy-Go-Lucky,tt1045670,118,Comedy|Drama|Romance,7,"A look at a few chapters in the life of Poppy, a cheery, colorful, North London schoolteacher whose optimism tends to exasperate those around her.",32861,3490000,21/11/2008,,8,No,1
2009,G.I. Joe: The Rise of Cobra,tt1046173,118,Action|Adventure|Sci-Fi,5.80000019,"An elite military unit comprised of special operatives known as G.I. Joe, operating out of The Pit, takes on an evil organization led by a notorious arms dealer.",177901,150170000,07/08/2009,1413,0,No,0
2009,Up,tt1049413,96,Animation|Adventure|Comedy,8.30000019,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.",698936,292980000,29/05/2009,1068,17,No,5
2009,The Imaginarium of Doctor Parnassus,tt1054606,123,Adventure|Fantasy|Mystery,6.80000019,A traveling theater company gives its audience much more than they were expecting.,128632,7690000,08/01/2010,1866,1,No,2
2010,Life as We Know It,tt1055292,114,Comedy|Drama|Romance,6.5999999,Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident.,99020,53360000,08/10/2010,1347,0,No,0
2009,Transformers: Revenge of the Fallen,tt1055369,150,Action|Adventure|Sci-Fi,6,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",330372,402080000,24/06/2009,1266,0,No,1
2009,Invictus,tt1057500,134,Biography|Drama|History,7.4000001,"Nelson Mandela, in his first term as the South African President, initiates a unique venture to unite the apartheid-torn land: enlist the national rugby team on a mission to win the 1995 Rugby World Cup.",128628,37480000,11/12/2009,2004,0,No,2
2008,Cloverfield,tt1060277,85,Action|Horror|Sci-Fi,7,A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.,307044,80030000,18/01/2008,803,0,No,0
2014,Boyhood,tt1065073,165,Drama,7.9000001,"The life of Mason, from early childhood to his arrival at college.",278651,25360000,15/08/2014,736,39,No,6
2008,The Class,tt1068646,128,Drama,7.5,Teacher and novelist FranЌois BЋgaudeau plays a version of himself as he negotiates a year with his racially mixed students from a tough Parisian neighborhood.,29948,3770000,13/03/2009,,0,No,1
2008,Departures,tt1069238,130,Drama|Music,8.10000038,A newly unemployed cellist takes a job preparing the dead for funerals.,39872,1540000,19/06/2009,,0,No,1
2012,Skyfall,tt1074638,143,Action|Adventure|Thriller,7.80000019,"Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",536992,304360000,09/11/2012,543,16,No,5
2009,Ajami,tt1077262,124,Crime|Drama,7.4000001,Ajami is the religiously mixed community of Muslims and Christians in Tel Aviv. These are five stories about the everyday life in Ajami.,5173,620000,26/03/2010,,0,No,1
2012,Dark Shadows,tt1077368,113,Comedy|Fantasy|Horror,6.19999981,"An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection.",205409,79710000,11/05/2012,937,0,No,0
2009,My Sister's Keeper,tt1078588,109,Drama,7.4000001,Anna Fitzgerald looks to earn medical emancipation from her parents who until now have relied on their youngest child to help their leukemia-stricken daughter Kate remain alive.,76840,49190000,26/06/2009,819,0,No,0
2008,Rachel Getting Married,tt1084950,113,Drama|Romance,6.69999981,A young woman who has been in and out of rehab for the past 10 years returns home for the weekend for her sister's wedding.,41905,12800000,07/11/2008,4785,4,No,1
2013,Lone Survivor,tt1091191,121,Action|Biography|Drama,7.5999999,"Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",212612,125070000,10/01/2014,528,3,No,2
2009,Dragonball: Evolution,tt1098327,85,Action|Adventure|Fantasy,2.70000005,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",58185,9350000,10/04/2009,1250,0,No,0
2008,Twilight,tt1099212,122,Drama|Fantasy|Romance,5.19999981,A teenage girl risks everything when she falls in love with a vampire.,355587,191450000,21/11/2008,326,3,No,0
2014,Foxcatcher,tt1100089,134,Biography|Drama|Sport,7,"Mark and Dave Schultz, U.S. Olympic Wrestling champions, join Team Foxcatcher led by multimillionaire John E. du Pont as they train for the 1988 games in Seoul - but John's emotional self-destruction threatens to consume them all.",112206,12100000,16/01/2015,1646,1,No,5
2010,TRON: Legacy,tt1104001,125,Action|Adventure|Sci-Fi,6.80000019,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,269848,172050000,17/12/2010,876,2,No,1
2009,The Hangover,tt1119646,100,Comedy,7.80000019,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",599702,277310000,05/06/2009,549,3,No,0
2010,Blue Valentine,tt1120985,112,Drama|Romance,7.4000001,"The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.",147111,9700000,28/01/2011,619,1,No,1
2011,The Ides of March,tt1124035,101,Drama,7.0999999,An idealistic staffer for a new presidential candidate gets a crash course on dirty politics during his stint on the campaign trail.,193172,40960000,07/10/2011,1267,1,No,1
2008,The Wrestler,tt1125849,109,Drama|Sport,7.9000001,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",256185,26240000,30/01/2009,1520,10,No,2
2010,Burlesque,tt1126591,119,Drama|Music|Musical,6.4000001,A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.,63348,39440000,24/11/2010,416,1,No,0
2009,Drag Me to Hell,tt1127180,99,Comedy|Horror|Thriller,6.5999999,"A loan officer who evicts an old woman from her home finds herself the recipient of a supernatural curse. Desperate, she turns to a seer to try and save her soul, while evil forces work to push her to a breaking point.",162255,42060000,29/05/2009,1903,0,No,0
2010,Shutter Island,tt1130884,138,Mystery|Thriller,8.10000038,"In 1954, a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.",826668,127970000,19/02/2010,256,0,No,0
2009,Jennifer's Body,tt1131734,102,Comedy|Horror,5.0999999,A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,95079,16200000,18/09/2009,1009,0,No,0
2011,Green Lantern,tt1133985,114,Action|Adventure|Sci-Fi,5.5999999,"Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",228575,116590000,17/06/2011,615,0,No,0
2009,Julie & Julia,tt1135503,118,Biography|Drama|Romance,7,Julia Child's story of her start in the cooking profession is intertwined with blogger Julie Powell's 2002 challenge to cook all the recipes in Child's first book.,82470,94130000,07/08/2009,2196,4,No,1
2009,District 9,tt1136608,112,Action|Sci-Fi|Thriller,8,An extraterrestrial race forced to live in slum-like conditions on Earth suddenly finds a kindred spirit in a government agent who is exposed to their biotechnology.,546694,115650000,14/08/2009,1360,8,No,4
2012,Frankenweenie,tt1142977,87,Animation|Comedy|Family,7,"Young Victor conducts a science experiment to bring his beloved dog Sparky back to life, only to face unintended, sometimes monstrous, consequences.",77692,35290000,05/10/2012,,3,No,1
2009,Orphan,tt1148204,123,Horror|Mystery|Thriller,7,A husband and wife who recently lost their baby adopt a nine year-old girl who is not nearly as innocent as she claims to be.,148949,41570000,24/07/2009,1201,0,No,0
2009,The White Ribbon,tt1149362,144,Drama|Mystery,7.80000019,"Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?",55126,2220000,05/03/2010,4473,6,No,2
2009,Public Enemies,tt1152836,140,Biography|Crime|Drama,7,"The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.",236490,97030000,01/07/2009,1381,0,No,0
2009,"I Love You, Man",tt1155056,105,Comedy|Romance,7,"Friendless Peter Klaven goes on a series of man-dates to find a Best Man for his wedding. But, when his insta-bond with his new B.F.F. puts a strain on his relationship with his fiancée, can the trio learn to live happily ever after?",170179,71350000,20/03/2009,1537,0,No,0
2010,The Karate Kid,tt1155076,140,Action|Drama|Family,6.19999981,"Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",124385,176590000,11/06/2010,1143,0,No,0
2009,Zombieland,tt1156398,88,Adventure|Comedy|Horror,7.69999981,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",399906,75590000,02/10/2009,700,0,No,0
2010,Biutiful,tt1164999,148,Drama|Romance,7.5,"This is the story of Uxbal, a man living in this world, but able to see his death, which guides his every move.",71560,5100000,04/02/2011,3441,0,No,2
2013,The Hobbit: The Desolation of Smaug,tt1170358,161,Adventure|Fantasy,7.9000001,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",501493,258360000,13/12/2013,418,0,No,3
2015,Demolition,tt1172049,101,Drama,7,"A successful investment banker struggles after losing his wife in a tragic car crash. With the help of a customer service rep and her young son, he starts to rebuild, beginning with the demolition of the life he once knew.",49886,1820000,08/04/2016,269,0,No,0
2008,Revanche,tt1173745,121,Crime|Drama|Romance,7.5999999,Ex-con Alex plans to flee to the South with his girl after a robbery. But something terrible happens and revenge seems inevitable.,11561,,16/05/2008,,0,No,1
2009,An Education,tt1174732,100,Drama,7.30000019,"A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age.",114346,12570000,05/02/2010,2183,5,No,3
2010,All Good Things,tt1175709,101,Crime|Drama|Mystery,6.30000019,"Mr. David Marks was suspected but never tried for killing his wife Katie who disappeared in 1982, but the truth is eventually revealed.",42900,580000,09/12/2010,1674,0,No,0
2016,10 Cloverfield Lane,tt1179933,104,Drama|Horror|Mystery,7.30000019,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",169084,71900000,11/03/2016,104,0,No,0
2011,The Lincoln Lawyer,tt1189340,118,Crime|Drama|Thriller,7.30000019,"Mick Haller is a defense lawyer who works out of his Lincoln. When a wealthy Realtor is accused of assaulting a prostitute, Haller is asked to defend him. The man claims that the woman is ... See full summary »",178244,57980000,18/03/2011,1630,0,No,0
2009,2012,tt1190080,158,Action|Adventure|Sci-Fi,5.80000019,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,291888,166110000,13/11/2009,1358,0,No,0
2011,Rango,tt1192628,107,Animation|Adventure|Comedy,7.19999981,"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.",190394,123210000,04/03/2011,2241,12,No,1
2009,Up in the Air,tt1193138,109,Drama|Romance,7.4000001,"Ryan Bingham enjoys living out of a suitcase for his job traveling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest and a new hire.",275955,83810000,23/12/2009,1319,10,No,6
2012,The Bourne Legacy,tt1194173,135,Action|Adventure|Mystery,6.69999981,"An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films.",239740,113170000,10/08/2012,1717,0,No,0
2009,Law Abiding Citizen,tt1197624,109,Crime|Drama|Thriller,7.4000001,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.,223823,73340000,16/10/2009,1534,0,No,0
2011,Harry Potter and the Deathly Hallows: Part 2,tt1201607,130,Adventure|Drama|Fantasy,8.10000038,"Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",571036,380960000,15/07/2011,211,12,No,3
2011,The Muppets,tt1204342,103,Adventure|Comedy|Family,7.0999999,A Muppet fanatic with some help from his two human compatriots must regroup the Muppet gang to stop an avaricious oil mogul from taking down one of their precious life-longing treasures.,76807,88630000,23/11/2011,3586,2,No,1
2014,Ouija,tt1204977,89,Horror|Thriller,4.4000001,A group of friends must confront their most terrifying fears when they awaken the dark powers of an ancient spirit board.,35549,50820000,24/10/2014,1065,0,No,0
2008,Gran Torino,tt1205489,116,Drama,8.19999981,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",581906,148090000,09/01/2009,1078,0,No,0
2009,The Milk of Sorrow,tt1206488,94,Drama|Music,6.69999981,"Fausta is suffering from a rare disease called the Milk of Sorrow, which is transmitted through the breast milk of pregnant women who were abused or raped during or soon after pregnancy. ... See full summary И",5693,10000,13/02/2009,,0,No,1
2011,Moneyball,tt1210166,133,Biography|Drama|Sport,7.5999999,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,291705,75610000,23/09/2011,1542,7,No,6
2013,The Lone Ranger,tt1210819,150,Action|Adventure|Western,6.5,"Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.",186987,89290000,03/07/2013,1417,0,No,2
2016,Doctor Strange,tt1211837,115,Action|Adventure|Fantasy,7.80000019,A former neurosurgeon embarks on a journey of healing only to be drawn into the world of the mystic arts.,195124,231910330,04/11/2016,31,2,No,1
2010,Hereafter,tt1212419,129,Drama|Fantasy,6.5,"A drama centered on three people -- a blue-collar American, a French journalist and a London school boy -- who are touched by death in different ways.",81846,32740000,22/10/2010,4007,0,No,1
2012,Lawless,tt1212450,116,Crime|Drama,7.30000019,"Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits.",191108,37400000,29/08/2012,693,1,No,0
2018,First Man,tt1213641,141,Biography|Drama|History,7.5,"A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",82345,44940000,12/10/2018,39,9,No,4
2011,Cars 2,tt1216475,106,Animation|Adventure|Comedy,6.30000019,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,106052,191450000,24/06/2011,1668,0,No,0
2010,Leap Year,tt1216492,100,Comedy|Romance,6.5,"Anna Brady plans to travel to Dublin, Ireland to propose marriage to her boyfriend Jeremy on Leap Day, because, according to Irish tradition, a man who receives a marriage proposal on a leap day must accept it.",73925,10000,08/01/2010,1706,0,No,0
2012,Brave,tt1217209,93,Animation|Adventure|Comedy,7.19999981,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",287228,237280000,22/06/2012,1353,3,No,1
2011,Limitless,tt1219289,105,Mystery|Sci-Fi|Thriller,7.4000001,"With the help of a mysterious pill that enables the user to access 100 percent of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers.",433929,79240000,18/03/2011,1035,0,No,0
2010,Resident Evil: Afterlife,tt1220634,97,Action|Adventure|Horror,5.9000001,"While still out to destroy the evil Umbrella Corporation, Alice joins a group of survivors living in a prison surrounded by the infected who also want to relocate to the mysterious but supposedly unharmed safe haven known only as Arcadia.",135313,60130000,10/09/2010,587,0,No,0
2009,I Am Love,tt1226236,120,Drama|Romance,7,"Emma left Russia to live with her husband in Italy. Now a member of a powerful industrial family, she is the respected mother of three, but feels unfulfilled. One day, Antonio, a talented chef and her son's friend, makes her senses kindle.",14690,5000000,23/07/2010,,0,No,1
2009,In the Loop,tt1226774,106,Comedy,7.5,A political satire about a group of skeptical American and British operatives attempting to prevent a war between two countries.,45548,2380000,04/09/2009,4525,2,No,1
2010,Iron Man 2,tt1228705,124,Action|Adventure|Sci-Fi,7,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",542122,312060000,07/05/2010,1163,2,No,1
2011,Mission: Impossible - Ghost Protocol,tt1229238,133,Action|Adventure|Thriller,7.4000001,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",375559,209360000,21/12/2011,1411,0,No,0
2010,Outside the Law,tt1229381,138,Crime|Drama|War,6.5999999,A drama about the Algerian struggle for independence from France after WWII.,3049,,22/09/2010,,0,No,1
2011,Jane Eyre,tt1229822,120,Drama|Romance,7.4000001,A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.,65738,11230000,22/04/2011,1563,2,No,1
2009,It's Complicated,tt1230414,120,Comedy|Drama|Romance,6.5999999,"When attending their son's college graduation, a couple reignite the spark in their relationship. But the complicated fact is they're divorced and he's remarried.",71642,112700000,25/12/2009,1950,0,No,0
2012,21 Jump Street,tt1232829,110,Action|Comedy|Crime,7.19999981,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,421830,138450000,16/03/2012,645,0,No,0
2009,A Prophet,tt1235166,155,Crime|Drama,7.9000001,A young Arab man is sent to a French prison.,80596,2080000,26/03/2010,4031,5,No,1
2010,Chico & Rita,tt1235830,94,Animation|Crime|Drama,7.19999981,"Chico is a young piano player with big dreams. Rita is a beautiful singer with an extraordinary voice. Music and romantic desire unites them, but their journey - in the tradition of the Latin ballad, the bolero - brings heartache and torment.",7102,250000,19/11/2010,,0,No,1
2011,We Need to Talk About Kevin,tt1242460,112,Crime|Drama|Mystery,7.5,"Kevin's mother struggles to love her strange child, despite the increasingly vicious things he says and does as he grows up. But Kevin is just getting started, and his final act will be beyond anything anyone imagined.",101154,1740000,21/10/2011,1184,4,No,0
2013,This Is the End,tt1245492,107,Comedy|Fantasy,6.69999981,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse.",320626,101470000,12/06/2013,730,1,No,0
2010,RED,tt1245526,111,Action|Comedy|Crime,7.0999999,"When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last ditch effort to survive and uncover his assailants.",245244,90360000,15/10/2010,1138,0,No,0
2010,Kick-Ass,tt1250777,117,Action|Comedy,7.69999981,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",448057,48040000,16/04/2010,430,0,No,0
2014,300: Rise of an Empire,tt1253863,102,Action|Drama|Fantasy,6.19999981,"Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",232746,106370000,07/03/2014,1003,0,No,0
2011,Immortals,tt1253864,110,Action|Drama|Fantasy,6,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",140734,83500000,11/11/2011,677,0,No,0
