year,movie,movie_id,duration,genre,rate,synopsis,votes,gross,release_date,popularity,awards_wins,Oscar_Best_Picture_won,Oscar_nominated
2003,Bad Boys II,tt0172156,147,Action|Comedy|Crime,6.5999999,Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida.,183145,138400000,18/07/2003,1569,0,No,0
2000,Gladiator,tt0172495,155,Action|Adventure|Drama,8.5,"When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.",1024040,187670000,05/05/2000,365,18,Yes,12
2000,Scary Movie,tt0175142,88,Comedy,6.19999981,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",192128,157000000,07/07/2000,1213,0,No,0
2000,The Perfect Storm,tt0177971,130,Action|Adventure|Drama,6.4000001,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,135888,182620000,30/06/2000,3304,1,No,2
2000,Quills,tt0180073,124,Biography|Drama,7.4000001,"In a Napoleonic era insane asylum, an inmate, the irrepressible Marquis De Sade, fights a battle of wills against a tyrannically prudish doctor.",45631,7060000,25/12/2000,3271,3,No,3
2000,Requiem for a Dream,tt0180093,102,Drama,8.39999962,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,596759,3610000,15/12/2000,245,9,No,1
2002,Minority Report,tt0181689,145,Action|Mystery|Sci-Fi,7.69999981,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",413070,132010000,21/06/2002,874,4,No,1
2003,Terminator 3: Rise of the Machines,tt0181852,109,Action|Sci-Fi|Thriller,6.4000001,A cybernetic warrior from a post-apocalyptic future travels back in time to protect a 25-year old drifter and his future wife from a most advanced robotic assassin and to ensure they both survive a nuclear attack.,313931,150350000,02/07/2003,1166,0,No,0
2000,Traffic,tt0181865,147,Crime|Drama|Thriller,7.5999999,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",173632,124110000,05/01/2001,1469,18,No,5
2000,Almost Famous,tt0181875,122,Adventure|Comedy|Drama,7.9000001,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,212643,32520000,22/09/2000,1002,22,No,4
2000,Boiler Room,tt0181984,120,Crime|Drama|Thriller,7,"A college dropout gets a job as a broker for a suburban investment firm, which puts him on the fast track to success, but the job might not be as legitimate as it sounds.",42344,16940000,18/02/2000,2410,0,No,0
